"FarmID","CowID","TX_nr","Sex","Age","haircoat_colour","DateCollected","Season","pregnancy_status","TrypAdmin","Tryp1","Tryp2","Brand","Brand1","Brand2","other_brand","expiry_date","RouteOfAdmin","storage_conditions","Reason_for_treatment","ISM_DoseTypeSachet","ISM_Sachets_Used","ISM_dilution","CompetentAdmin","DZ_Sachets_Used","DZ_dilution","HM_tabs_used","HM_dilution","Girth_length","Body_condition","Abnormalities","Symptoms","presumed_diagnosis","PCV_TX","microscopy_TX","Distance","Herd_size","weight_kg","dose_mg_1","dose_mg_2","dosage_mg_kg_1","dosage_mg_kg_2","dose_description1","dose_description2","dose_description_prophylaxis","dose_description_combined","route_appropriate","adequate_admin","adequate_admin_p","PCR_TX_results","Brucei_TX","Congolense_TX","Vivax_TX","FU1_date","PCR_FU1_results","Brucei_FU1","Congolense_FU1","Vivax_FU1","FU2_date","PCR_FU2_results","Brucei_FU2","Congolense_FU2","Vivax_FU2","FU3_date","PCR_FU3_results","Brucei_FU3","Congolense_FU3","Vivax_FU3","FU4_date","PCR_FU4_results","Brucei_FU4","Congolense_FU4","Vivax_FU4","infected_TX","curative_action","prophylactic_action"
"18","1459","1","F","5","white","16/10/2021","Short rains","0","isometamidium homidium","isometamidium","homidium","ISM-B & HM","ISM-B","HM",NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,"1","water from bore hole","132","2","no","no symptoms","healthy","28","no","3762","270","172.3075224","125","250","0.725447144","1.450894288","adequate dose","adequate dose","prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","22/10/2021","0","0","0","0","12/11/2021","0","0","0","0","09/12/2021","0","0","0","0","07/01/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1462","1","F","6","red/brown/tan","12/07/2022","Dry","1","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"138","2.5","no","no symptoms","healthy","34","no","3762","270","195.941793","125",NA,"0.637944555",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","19/07/2022","0","0","0","0","09/08/2022","0","0","0","0","10/09/2022","0","0","0","0","03/10/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1463","1","M","0.5","red/brown/tan","12/07/2022","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.0625","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"124","3","no","no symptoms","healthy","28","no","3762","270","144.1528979","62.5",NA,"0.43356742",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","1","1","0","0","19/07/2022","0","0","0","0","09/08/2022","0","0","0","0","10/09/2022","0","0","0","0","03/10/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1464","1","F","0.5","red/brown/tan","12/07/2022","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is not suitable","prophylactic administration (animal not sick)","8 dose satchet","0.0625","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"110","2.5","no","no symptoms","healthy","31","no","3762","270","103.241566","62.5",NA,"0.605376327",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO","0","0","0","0","19/07/2022","0","0","0","0","09/08/2022","0","0","0","0","10/09/2022","0","0","0","0","03/10/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1465","1","M","0.6","red/brown/tan","12/07/2022","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.0625","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"120","2.5","no","no symptoms","healthy","35","no","3762","270","131.4259429","62.5",NA,"0.475552989",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","19/07/2022","0","0","0","0","09/08/2022","0","0","0","0","10/09/2022","0","0","0","0","03/10/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1563","1","M","3","red/brown/tan","30/12/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)",NA,NA,NA,"yes the medication was delivered in a competent manner","2","rainwater",NA,NA,"174","3.5","no","no symptoms","healthy","41","no","9687","250","391.3294565","2100",NA,"5.366322328",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","05/01/2022","0","0","0","0","27/01/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1563","2","M","3","red/brown/tan","04/07/2022","Dry","0","isometamidium diminazine","isometamidium","diminazine","DA-D & ISM-A","ISM-A","DA-D",NA,"15/01/2024","intravenously intramuscularly","storage is not suitable","prophylactic administration (animal not sick)","8 dose satchet","0.16","rainwater","yes the medication was delivered in a competent manner","1.5","rainwater",NA,NA,"184","4","no","no symptoms","healthy","41","no","9687","250","464.6877955","160",NA,"0.344317199",NA,"underdose",NA,"underdose","non-therapeutic dose","incorrect","NO","NO","0","0","0","0","11/07/2022","0","0","0","0","02/08/2022","0","0","0","0","30/08/2022","0","0","0","0","29/09/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1565","1","F","5","red/brown/tan","06/12/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intravenously","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","water from bore hole",NA,NA,"130","2","yes","rough hair coat dehydration diarrhea lymph nodes enlarged or abnormal","tryps","29","yes","9687","250","164.9190785","1050",NA,"6.366758834",NA,"adequate dose",NA,NA,"therapeutic dose","incorrect","NO","NO","1","0","0","1","13/12/2021","0","0","0","0","05/01/2022","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","failure",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1569","1","F","2.5","red/brown/tan","30/12/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)",NA,NA,NA,"yes the medication was delivered in a competent manner","2","rainwater",NA,NA,"164","3.5","no","no symptoms","healthy","35","no","9687","250","326.8931384","2100",NA,"6.42411771",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"1","0","1","1","05/01/2022","0","0","0","0","27/01/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1573","1","F","2","white","30/11/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intravenously","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","water from bore hole",NA,NA,"124","1.5","no","diarrhea pale mucous membare dehydration","tryps","31","yes","9687","250","144.1528979","1050",NA,"7.283932652",NA,"overdose",NA,NA,"therapeutic dose","incorrect","NO","NO","1","0","0","1","06/12/2021","0","0","0","0","28/12/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1584","1","F","5","white","30/11/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intravenously","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","water from bore hole",NA,NA,"136","2","yes","diarrhea rough hair coat pale mucous membare dehydration other","tryps","15","yes","9687","250","187.8138248","1050",NA,"5.590642762",NA,"adequate dose",NA,NA,"therapeutic dose","incorrect","NO","NO","1","0","0","1","06/12/2021","0","0","0","0","28/12/2021","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","1589","1","F","1","red/brown/tan","06/12/2021","Short rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/12/2023","intravenously","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","0.8","water from bore hole",NA,NA,"108","2","yes","rough hair coat","tryps","19","no","9687","250","98.1905374","840",NA,"8.554795831",NA,"overdose",NA,NA,"therapeutic dose","incorrect","NO","NO","0","0","0","0","13/12/2021","0","0","0","0","16/12/2021","0","0","0","0","05/01/2022","0","0","0","0",NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1621","1","F","5.5","black","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","2","no","no symptoms","healthy","35","no","20362","70","187.8138248","125",NA,"0.66555271",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","1","0","1","0","18/01/2022","0","0","0","0","11/02/2022","1","0","0","1","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1623","1","F","5","grey","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","1.5","no","no symptoms","healthy","29","no","20362","70","187.8138248","170",NA,"0.905151685",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","1","0","1","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1625","1","F","2.5","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"134","2.5","yes","diarrhea rough hair coat","tryps","31","no","20362","70","179.9374273","125",NA,"0.694685935",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","1","0","1","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1626","1","F","6","black","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"142","2.5","no","no symptoms","healthy","27","no","20362","70","212.9729868","170",NA,"0.798223298",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","1","0","1","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","1","0","1","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1629","1","F","3.5","red/brown/tan","08/04/2022","Long rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/11/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"154","3","no","no symptoms","healthy","39","no","20362","70","270.6467733","1050",NA,"3.879595486",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"1","0","1","0","18/04/2022","1","1","0","0","05/05/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1633","1","M","2","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"146","2.5","no","no symptoms","healthy","36","no","20362","70","231.0725629","170",NA,"0.735699634",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","1","0","0","1","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1634","1","F","7","black","19/11/2021","Short rains","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","1.5","yes","diarrhea rough hair coat skin lesions pale mucous membare","tryps","34","yes","20362","70","187.8138248","125",NA,"0.66555271",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1636","1","F","5","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"118","1.5","yes","rough hair coat","tryps","21","yes","20362","70","125.3832239","125",NA,"0.996943579",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1637","1","F","2","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"122","1.5","no","no symptoms","healthy","27","no","20362","70","137.6809176","125",NA,"0.907896331",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","1","1","0","0","29/11/2021","0","0","0","0","15/12/2021","1","0","1","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1640","1","F","3","white","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"120","2","no","no symptoms","healthy","25","no","20362","70","131.4259429","170",NA,"1.293504131",NA,"overdose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","1","0","1","0","29/11/2021","0","0","0","0","15/12/2021","1","0","1","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","1","failure","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1643","1","M","3","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"156","3","no","no symptoms","healthy","29","yes","20362","70","281.2750403","125",NA,"0.444404878",NA,"adequate dose",NA,"underdose","therapeutic dose","incorrect","NO","NO","1","0","0","1","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1643","2","M","3","red/brown/tan","08/04/2022","Long rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/11/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"142","3","no","no symptoms","healthy","31","no","20362","70","212.9729868","1050",NA,"4.930202726",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","18/04/2022","0","0","0","0","05/05/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1644","1","F","6","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"148","2.5","no","no symptoms","healthy","30","no","20362","70","240.5361822","170",NA,"0.706754379",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","1","0","1","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1645","1","F","2.5","black","08/04/2022","Long rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/11/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"134","2.5","yes","rough hair coat","tryps","34","no","20362","70","179.9374273","1050",NA,"5.835361857",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","18/04/2022","0","0","0","0","05/05/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1647","1","F","6","red/brown/tan","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/07/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"138","1.5","no","no symptoms","healthy","23","yes","20362","70","195.941793","125",NA,"0.637944555",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","1","0","0","1","15/12/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1648","1","F","4","white","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","3","no","no symptoms","healthy","30","no","20362","70","292.2082027","125",NA,"0.427777177",NA,"adequate dose",NA,"underdose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1648","2","F","4","white","08/04/2022","Long rains","0","diminazine","diminazine",NA,"DA-D","DA-D",NA,NA,"15/11/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"158","3","no","no symptoms","healthy","33","no","20362","70","292.2082027","1050",NA,"3.593328286",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","18/04/2022","0","0","0","0","05/05/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","1650","1","F","3","white","19/11/2021","Short rains","0","isometamidium","isometamidium",NA,"ISM-C","ISM-C",NA,"ISM-C","15/10/2023","intravenously","storage is suitable","treatment of a clinically sick animal","8 dose satchet","0.17","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"120","2","no","no symptoms","healthy","29","no","20362","70","131.4259429","170",NA,"1.293504131",NA,"overdose",NA,"prophylactic dose","therapeutic dose","incorrect","NO","NO","0","0","0","0","29/11/2021","0","0","0","0","15/12/2021","0","0","0","0","18/01/2022","0","0","0","0","11/02/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1497","1","F","6","black","15/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"160","3","no","no symptoms","healthy","33","no","3729","110","303.4518454","125",NA,"0.411926973",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","24/06/2021","1","0","0","1","14/07/2021","0","0","0","0","11/08/2021","0","0","0","0","07/09/2021","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1498","1","F","5","red/brown/tan","15/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","bottled water","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"156","4","no","no symptoms","healthy","36","no","3729","110","281.2750403","125",NA,"0.444404878",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","24/06/2021","0","0","0","0","14/07/2021","0","0","0","0","11/08/2021","1","1","0","0","07/09/2021","0","0","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1499","1","F","2","red/brown/tan","15/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"148","3.5","no","no symptoms","healthy","38","no","3729","110","240.5361822","125",NA,"0.519672337",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","1","0","1","0","24/06/2021","0","0","0","0","14/07/2021","0","0","0","0","11/08/2021","0","0","0","0","07/09/2021","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1500","1","F","2","white","15/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","bottled water","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"158","4","no","no symptoms","healthy","37","no","3729","110","292.2082027","125",NA,"0.427777177",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","1","0","1","0","24/06/2021","0","0","0","0","14/07/2021","0","0","0","0","11/08/2021","0","0","0","0","07/09/2021","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","1501","1","F","2","white","15/06/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-B","ISM-B",NA,NA,"15/09/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","bottled water","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"146","3","no","no symptoms","healthy","32","no","3729","110","231.0725629","125",NA,"0.540955613",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","24/06/2021","1","0","0","1","14/07/2021","0","0","0","0","11/08/2021","0","0","0","0","07/09/2021","0","0","0","0","1","success","success"
